Year,City,YP_Section,Name,Address,Cuisine,
2016,Scarborough,Grocery-Retail,Kashmir Food,1073 Midland Av,south asian,
2016,Scarborough,Grocery-Retail,kibi and babi supermarket,3585 keele,,
2016,Scarborough,Grocery-Retail,kim's grocery,878 weston rd,,
2016,Scarborough,Grocery-Retail,king's food market,1326 king w,,
2016,Scarborough,Grocery-Retail,Kingston Market,4379 Kingston Rd,,
2016,Scarborough,Grocery-Retail,ko foods,2842 dudnas w,,
2016,Scarborough,Grocery-Retail,kolbo kosher foods inc,11 richelieu,,
2016,Scarborough,Grocery-Retail,kosher city plus,3468 bathurst,,
2016,Scarborough,Grocery-Retail,krishna grocery,820 markham,south asian,
2016,Scarborough,Grocery-Retail,kulbir singh,400 sewells,ethnic,
2016,Scarborough,Grocery-Retail,Lamshing Company,23 glen watford,,
2016,Scarborough,Grocery-Retail,leizity general inc,2189 WESTON,,
2016,Scarborough,Grocery-Retail,Lone Tai Supermarket,2300 Lawrence Av E,,
2016,Scarborough,Grocery-Retail,Lone Thai Supermarket,2300 Lawrence Av E,,
2016,Scarborough,Grocery-Retail,long hui supermarket,2437 finch av,,
2016,Scarborough,Grocery-Retail,ls capocci ,50 morrison av,,
2016,Scarborough,Grocery-Retail,lucky conveninece,244 perth av,,
2016,Scarborough,Grocery-Retail,Lucky Dollar Food Centre (East),6099 Kingston Rd,,
2016,Scarborough,Grocery-Retail,lucky moose,393 dundas,,
2016,Scarborough,Grocery-Retail,lukes grocery,635 logan,,
2016,Scarborough,Grocery-Retail,m and b tropical grocery,351 albion rd,,
2016,Scarborough,Grocery-Retail,makola tropical foods,56 beverly hills dr,,
2016,Scarborough,Grocery-Retail,marcheleo's inc,181 eglinton e,,
2016,Scarborough,Grocery-Retail,mcewan ,38 karl fraser,,
2016,Scarborough,Grocery-Retail,mcewan foods,66 wellington w,,
2016,Scarborough,Grocery-Retail,Meat Express,328 Passmore,,
2016,Scarborough,Grocery-Retail,monawar hamad,1616 gerrard e,ethnic,
2016,Scarborough,Grocery-Retail,m2 m asian foods inc,5545 yonge,,
2016,Scarborough,Grocery-Retail,national supermarket,2700 kipling,,
2016,Scarborough,Grocery-Retail,Nethu NN Supermarket,3268 finch E,,
2016,Scarborough,Grocery-Retail,new bloor gardEN,1066 BLOOR W,,
2016,Scarborough,Grocery-Retail,new kabul halal meat inc,5010 steeles w,,
2016,Scarborough,Grocery-Retail,New Kalyani Supermarket,3160 Eglinton Av E,sri lanka,
2016,Scarborough,Grocery-Retail,new spiceland supermarket,6065 steeles e,,
2016,Scarborough,Grocery-Retail,Nicey's Food Mart,50 Morecambe Gate,,
2016,Scarborough,Grocery-Retail,oba market,1840 jane st,,
2016,Scarborough,Grocery-Retail,ocean palace,1480 jane,,
2016,Scarborough,Grocery-Retail,ofc distribution inc,165 the queensway,,
2016,Scarborough,Grocery-Retail,om india food centre,1729 albion,india,
2016,Scarborough,Grocery-Retail,ontario food market,2863 lake shore bl w,,
2016,Scarborough,Grocery-Retail,oriental food mart,1015 pape av,ethnic,
2016,Scarborough,Grocery-Retail,oriental food mart mccowan,250 alton towers cir,ethnic,
2016,Scarborough,Grocery-Retail,Oriental Giant Food Mart Inc,462 Birchmount,ethnic,
2016,Scarborough,Grocery-Retail,palmer food market,17 palmer av,,
2016,Scarborough,Grocery-Retail,palmerston food market,721 palmerston av,,
2016,Scarborough,Grocery-Retail,Pat East Market,1987 Lawrence Av E,,
2016,Scarborough,Grocery-Retail,patel brothers,2141 ellesmere,south asian,
2016,Scarborough,Grocery-Retail,philippine oreintal food,1033 gerrard e,ethnic,
2016,Scarborough,Grocery-Retail,popular supermarket,216 chambers av,,
2016,Scarborough,Grocery-Retail,Prasad Caribbean & Oriental Specialty Foods,4559 sheppard e,ethnic,
2016,Scarborough,Grocery-Retail,Prem Grocery Fish And Meat,3857 Lawrence E,,
2016,Scarborough,Grocery-Retail,Prince Supermarket,3502 Danforth Av,,
2016,Scarborough,Grocery-Retail,r j food market convenience,1650 victoria park,,
2016,Scarborough,Grocery-Retail,raise the root market,1164 queen,,
2016,Scarborough,Grocery-Retail,rapha african and caribbean grocery,37 ron atwell,,
2016,Scarborough,Grocery-Retail,rogers supermarket,419 rogers rd,,
2016,Scarborough,Grocery-Retail,ross convenience and grocers,3932 keele,,
2016,Scarborough,Grocery-Retail,rouge convenience & superma,9390 sheppard e,,
2016,Scarborough,Grocery-Retail,rowe farms,2230 bloor w,,
2016,Scarborough,Grocery-Retail,rowe farms,2126 queen e,,
2016,Scarborough,Grocery-Retail,Royal Kerala Foods,1158 Warden,indian,
2016,Scarborough,Grocery-Retail,Rubini East & West Indian Food Market,31 Tapscott Rd ,ethnic,
2016,Scarborough,Grocery-Retail,sadroo's grocery supplies,487 mcnicoll,ethnic,
2016,Scarborough,Grocery-Retail,st clair fruit market,1268 st clair av,,
2016,Scarborough,Grocery-Retail,sam's food store,620 vaughan,,
2016,Scarborough,Grocery-Retail,sarker foods,2996 danforth av,ethnic,
2016,Scarborough,Grocery-Retail,sarker grocery,423 parliament,ethnic,
2016,Scarborough,Grocery-Retail,seaton supermarket,220 gerrard e,,
2016,Scarborough,Grocery-Retail,Senley Supermarket Ltd,3280 Midland,,
2016,Scarborough,Grocery-Retail,seventy seven food market,138 hallam st,,
2016,Scarborough,Grocery-Retail,shankar & co,2425 eglinton av,,
2016,Scarborough,Grocery-Retail,sheng noong supermarket,4386 Sheppard E,,
2016,Scarborough,Grocery-Retail,shengchai fresh foods,1225 markaham,,
2016,Scarborough,Grocery-Retail,Shueng Thai Super Market,1255 Markham Rd,,
2016,Scarborough,Grocery-Retail,skyland food mart inc,3715 lawrence e,,
2016,Scarborough,Grocery-Retail,smart choice foodmart,4734 jane,,
2016,Scarborough,Grocery-Retail,stop & go mart,1342 queen e,,
2016,Scarborough,Grocery-Retail,subzi mandi cash inc,900 middlefield rd,ethnic,
2016,Scarborough,Grocery-Retail,summerhill market,446 summerhill av,,
2016,Scarborough,Grocery-Retail,sun valley fruid & grocery ltd,468 danforth,,
2016,Scarborough,Grocery-Retail,sunny supermarket,115 ravel,,
2016,Scarborough,Grocery-Retail,super arzon,6103 yonge,,
2016,Scarborough,Grocery-Retail,sweet & natural ,415 yonge,,
2016,Scarborough,Grocery-Retail,t&t supermarket inc,800 tapscott,,
2016,Scarborough,Grocery-Retail,t and t supermarket milliken,5661 steeles av e,,
2016,Scarborough,Grocery-Retail,tagpuan,1740 victoria park,,
2016,Scarborough,Grocery-Retail,the green spot,200 lee centre,,
2016,Scarborough,Grocery-Retail,tremblett valu-mart,1500 bayview av,,
2016,Scarborough,Grocery-Retail,uncle seth tropical foods,2069 lawrence e,,
2016,Scarborough,Grocery-Retail,valu-Mart,123 Guildwood Pkwy,,
2016,Scarborough,Grocery-Retail,varsity,364 huron,,
2016,Scarborough,Grocery-Retail,vientiane trading co ltd,51 jutland,,
2016,Scarborough,Grocery-Retail,vincenzo supermarket,2406 danforth av,,
2016,Scarborough,Grocery-Retail,wares grocery ,440 dundas st e,,
2016,Scarborough,Grocery-Retail,wholesale club,605 rogers rd,,
2016,Scarborough,Grocery-Retail,win farm supermarket,1925 sheppard w,,
2016,Scarborough,Grocery-Retail,yang sk food ltd,23 milliken,,
2016,Scarborough,Grocery-Retail,Yarlton,2104 Bridletowne Cir,,
2016,Scarborough,Grocery-Retail,ycl wholesale,150 milner av,,
2016,Scarborough,Grocery-Retail,yes food fair,1940 gerrard e,,
2016,Scarborough,Grocery-Retail,your commuinty grocers,45 four winds dr,,
2016,Scarborough,Grocery-Retail,Yousaf Halal Meat Supermarket,683 Markham Rd,,
2016,Scarborough,Grocery-Retail,yummy market inc,4400 dufferin,,
2016,Scarborough,Grocery-Retail,Zabeeha Meat & Grocery Store,4800 sheppard av e,ethnic,
2016,Scarborough,Grocery-Retail,Zain's,11 Ivy Bush Av,ethnic,
2016,Scarborough,Grocery-Retail,zito's marketplace,210 marlee,,
2016,Scarborough,Grocery-Retail,zyka fine foods & bb,80 nashdene,,
2016,Scarborough,Grocery-Retail,2 u 4 u express market,15 finch w,,
2016,Scarborough,Grocery-Retail,203846 ont inc,21 trojan gate,,
2016,Scarborough,Grocery-Whole,bj international ,1449 gerrard st,,
2016,Scarborough,Grocery-Whole,Can-Roxy Trading Inc,55 Ironside Cr,,
2016,Scarborough,Grocery-Whole,chakra enterprises inc,3520 mcnicoll,,
2016,Scarborough,Grocery-Whole,cheong hing dry seafood,200 tiffield rd,,
2016,Scarborough,Grocery-Whole,Fairview Trading,20 Melhem Ct,,
2016,Scarborough,Grocery-Whole,Fairview Trading Company,2500 bridletown cir,,
2016,Scarborough,Grocery-Whole,fkk wholesale cash & carry inc,920 caledonia rd,,
2016,Scarborough,Grocery-Whole,flare star international,71 dynamic dr,,
2016,Scarborough,Grocery-Whole,fresh harvest fine foods,546 eglinotn w,,
2016,Scarborough,Grocery-Whole,full fortune foods,110 silver star,,
2016,Scarborough,Grocery-Whole,H & L quality foods ltd,393 midwest,,
2016,Scarborough,Grocery-Whole,jay brand food products,70 melford dr,,
2016,Scarborough,Grocery-Whole,khullar foods sweets & restaurants,2011 lawrence w,ethnic,
2016,Scarborough,Grocery-Whole,Kissan International Canada Incorporated,2691 markham ,,
2016,Scarborough,Grocery-Whole,link global food inc,2131 mccowan rd,,
2016,Scarborough,Grocery-Whole,li win producing company,23 windsor st,,
2016,Scarborough,Grocery-Whole,lucky supply inc,225 evans,,
2016,Scarborough,Grocery-Whole,M&M Twins Limited,100 Dynamic Dr,,
2016,Scarborough,Grocery-Whole,mo poon trading co ltd,5621 finch e,,
2016,Scarborough,Grocery-Whole,mvr cash & carry,3655 weston,,
2016,Scarborough,Grocery-Whole,peter the chef fine food ,1941 albion,,
2016,Scarborough,Grocery-Whole,raj grocers,1271 martin grove,ethnic,
2016,Scarborough,Grocery-Whole,S R I sales inc,110 norfinch dr,,
2016,Scarborough,Grocery-Whole,shifa enterprises,3520 mcnicoll,ethnic,
2016,Scarborough,Grocery-Whole,sincere trading of kba co,170 the west mall,,
2016,Scarborough,Grocery-Whole,sincere trading of kba co ltd,1 mobile dr,,
2016,Scarborough,Grocery-Whole,tai hung canada trading co ltd,2201 brimley,,
2016,Scarborough,Grocery-Whole,top pne international ltd,31 passmore,,
2016,Scarborough,Grocery-Whole,top tier poultry,21 steinway,,
2016,Scarborough,Grocery-Whole,tri-star wholesale,2 lisgar,,
2016,Scarborough,Grocery-Whole,united foods wholesale,2 lisgar,,
2016,Scarborough,Grocery-Whole,united grocers inc,295 the west mall,,
2016,Scarborough,Grocery-Whole,wai foong trading co ltd,370 tapscott rd,,
2016,Scarborough,Grocery-Whole,wealth dragon trading inc,235 nugget ave,,
2016,Scarborough,Grocery-Whole,Wing May Trading Co Ltd,60 Weybright Crt,,
2016,Scarborough,Grocery-Whole,Wong's Food Trading Co,63 Silver Star Blvd,,
2016,Scarborough,Grocery-Whole,8340988 canada corp,540 coronation dr,,
2016,Scarborough,Restaurants,A La Carte Kitchen Inc,111 Queen's Park,,
2016,Scarborough,Restaurants,A La Crepes Inc,261 Markham rd,,
2016,Scarborough,Restaurants,A&S roti shop,646 queen w,,
2016,Scarborough,Restaurants,A 1 Sweets Restaurant,3300 McNicoll Av,,
2016,Scarborough,Restaurants,aandw,372 queen st w,,
2016,Scarborough,Restaurants,abbot pub,3367 yonge,,
2016,Scarborough,Restaurants,abby pub and steak house,989 college,,
