Year,City,YP_Section,Name,Address,Cuisine
2006,Scarborough,Grocery-Retail,Aavs Super Stores Inc,3268 Finch E,
2006,Scarborough,Grocery-Retail,Al Ittihad Halal Meat and Groceries,1801 Lawrence Av E,
2006,Scarborough,Grocery-Retail,Al-Khair Supermarket,20 Nugget,ethnic
2006,Scarborough,Grocery-Retail,Al Mubrak Halal Meat,2183 Lawrence E,
2006,Scarborough,Grocery-Retail,Al-Mumtaz Butt Foods,14 Tower Dr,ethnic
2006,Scarborough,Grocery-Retail,Al-Mustafa Halal Meat & Grocery Ltd,357 Pitfield,
2006,Scarborough,Grocery-Retail,Al-quresh Foods,1879 Lawrence Av E,ethnic
2006,Scarborough,Grocery-Retail,aprozar fresh foods & veggies,3121 sheppard av e ,ethnic
2006,Scarborough,Grocery-Retail,aquino's mini bazaar,2588 Birchmount Rd,
2006,Scarborough,Grocery-Retail,arsan supermarket,790 military trl,
2006,Scarborough,Grocery-Retail,asian farm supermarket,3813 sheppard e,
2006,Scarborough,Grocery-Retail,aunti anita west indian supermarket,1195 birchmount,
2006,Scarborough,Grocery-Retail,azaad market,2653 eglinton av e,south asian
2006,Scarborough,Grocery-Retail,baksh halal meat,202 markham rd,
2006,Scarborough,Grocery-Retail,Bamburgh Food Mart,355 Bamburgh Cir,
2006,Scarborough,Grocery-Retail,batala supermarket,200 markham rd,
2006,Scarborough,Grocery-Retail,bombay bazaar,3601 lawrence av e,indian
2006,Scarborough,Grocery-Retail,Brother's supermarket,2683 lawrence av e,
2006,Scarborough,Grocery-Retail,Charley's West Indian Foods Ltd,1154 Morningside Av,
2006,Scarborough,Grocery-Retail,Charry's Fine Foods,1071 Danforth Rd,
2006,Scarborough,Grocery-Retail,Chung hing Supermarket,17 milliken,
2006,Scarborough,Grocery-Retail,Cliffcrest Foodtown Limited,2989 Kingston Rd,
2006,Scarborough,Grocery-Retail,Daisy Mart,2300 eglinton e,
2006,Scarborough,Grocery-Retail,Daisy Mart,5739 sheppard av e,
2006,Scarborough,Grocery-Retail,Daisy Mart,4865 Sheppard Av E,
2006,Scarborough,Grocery-Retail,danforth food market pharmacy,3051 pharmacy av,
2006,Scarborough,Grocery-Retail,Deena Halal Meat & Grocery,2680 Lawrence Av E,
2006,Scarborough,Grocery-Retail,dil bros west and east indian grocery store,4164 kingston rd,ethnic
2006,Scarborough,Grocery-Retail,Dominion Stores Inc,91 Rylander Bl,
2006,Scarborough,Grocery-Retail,Dominion Stores Inc,,
2006,Scarborough,Grocery-Retail,Dominion Stores Inc,,
2006,Scarborough,Grocery-Retail,Dominion Stores Inc,,
2006,Scarborough,Grocery-Retail,Dominion Stores Inc,,
2006,Scarborough,Grocery-Retail,Dominion Stores Inc,,
2006,Scarborough,Grocery-Retail,Dominion Stores Inc,,
2006,Scarborough,Grocery-Retail,Dominion Stores Inc,,
2006,Scarborough,Grocery-Retail,East End Tropical Market,287 morningside ,
2006,Scarborough,Grocery-Retail,embassy's conveniaence & groceries,5200 finch e,
2006,Scarborough,Grocery-Retail,eraa supermarket,2607 eglinton av e,sri lankan
2006,Scarborough,Grocery-Retail,Family Food Fair Convenience,2680 Lawrence Av E,
2006,Scarborough,Grocery-Retail,food basics,,
2006,Scarborough,Grocery-Retail,food basics,,
2006,Scarborough,Grocery-Retail,food basics,,
2006,Scarborough,Grocery-Retail,food basics,,
2006,Scarborough,Grocery-Retail,food depot supermarket,3331 sheppard av e,
2006,Scarborough,Grocery-Retail,fu yao supermarket,462 birchmount rd,
2006,Scarborough,Grocery-Retail,Ganesha Spicy Mart,3743 Lawrence Av E,south asian
2006,Scarborough,Grocery-Retail,Gemini Market,3208 eglinton av e,
2006,Scarborough,Grocery-Retail,G's Place,9390 Sheppard av e,
2006,Scarborough,Grocery-Retail,Habibula Habib,3874 Lawrence E,
2006,Scarborough,Grocery-Retail,Henley Food Market,1089 Kingston Rd,
2006,Scarborough,Grocery-Retail,Highland Creek Supermarket,362 Old Kingston,
2006,Scarborough,Grocery-Retail,Hong Tai Supermarket,4490 Sheppard E,
2006,Scarborough,Grocery-Retail,Hong Tai Supermarket,2555 Victoria Park,
2006,Scarborough,Grocery-Retail,India Town Food & Spices,641 Markham Rd,indian
2006,Scarborough,Grocery-Retail,Indian Groceries & Spices,1983 Lawrence Av E,indian
