Year,City,YP_Section,Name,Address,Cuisine
2006,Markham,grocers-retail,a & p food stores,5612 main st,
2006,Markham,grocers-retail,al tawakkul jalal meat,7657 kennedy rd,ethinc
2006,Markham,grocers-retail,apna grocers,7200 markham rd,ethnic
2006,Markham,grocers-retail,asian caribbean food inc,2002 middlefield rd,ethnic
2006,Markham,grocers-retail,bahay kubo food mart,2002 middlefield rd,
2006,Markham,grocers-retail,balaji indian supermarket,4361 hwy 7,indian
2006,Markham,grocers-retail,ballantrae fruit & vegetable market,2 stouffville,
2006,Markham,grocers-retail,big land farm markham ltd,20 duffield dr,
2006,Markham,grocers-retail,binko fine food,3255 hwy 7,
2006,Markham,grocers-retail,chankanai market,186 old kennedy rd,sri lankan
2006,Markham,grocers-retail,daya indian groceries,8236 yonge,indian
2006,Markham,grocers-retail,denison supermarket,1661 desison,
2006,Markham,grocers-retail,ding dong,4300 steeles e,
2006,Markham,grocers-retail,doramon world inc,8360 kennedy,
2006,Markham,grocers-retail,food basics,7700 markham,
2006,Markham,grocers-retail,foodfair supermarket,4394 steeles e,
2006,Markham,grocers-retail,garden basket food markets,9275 hwy 48,
2006,Markham,grocers-retail,hang fat,398 ferrier,
2006,Markham,grocers-retail,heisei mart,3160 steeles e,
2006,Markham,grocers-retail,i g a unionville,4721 hwy 7 e,
2006,Markham,grocers-retail,jega supermarkets,5 hillcroft dr,
2006,Markham,grocers-retail,kaycees caribbean food mart,411 manhattan dr,
2006,Markham,grocers-retail,loblaws,200 bullock dr,
2006,Markham,grocers-retail,longo's,3085 hwy 7,
2006,Markham,grocers-retail,longo's,7355 bayview av,
2006,Markham,grocers-retail,markham fine foods,23 wootten way n,
2006,Markham,grocers-retail,markham | g a store,5694 hwy 7,
2006,Markham,grocers-retail,mini me market,2 corby rd,
2006,Markham,grocers-retail,priya grocery,2 fenton,ethnic
2006,Markham,grocers-retail,priya's,1661 denison,ethnic
2006,Markham,grocers-retail,sadroo's grocery supplies,487 mcNicoll,ethnic
2006,Markham,grocers-retail,sheng noong supermarket,7220 kennedy,
2006,Markham,grocers-retail,shadlock supermarket,8 shadlock,
2006,Markham,grocers-retail,sobeys,9620 mccowan,
2006,Markham,grocers-retail,sobeys,5887 main,
2006,Markham,grocers-retail,spicetown halal meat & vegetable market,280 elson,
2006,Markham,grocers-retail,t and t supermarket,7070 warden av,
2006,Markham,grocers-retail,weston produce inc,9625 yonge,
2006,Markham,grocers-whole,bapu khoya,50 donpark rd,
2006,Markham,grocers-whole,chang ziang corp,110 torbay rd,
2006,Markham,grocers-whole,empire foods ltd,205 torbay rd,
2006,Markham,grocers-whole,kua hua trading co ltd,100 ferrier,
2006,Markham,grocers-whole,rice & spice indian groceries,38 buttonfield rd,indian
2006,Markham,grocers-whole,wen ho of canada,121 bentley,
2006,Markham,restaurants,a & w ,35 wootten way n,
2006,Markham,restaurants,a & w ,5000 hwy 7,
2006,Markham,restaurants,ag soho,15 lanark rd,
2006,Markham,restaurants,ah yuen cafe & steakhouse,8392 kennedy rd,
2006,Markham,restaurants,aji sai japanese rest,38 dunbar cr,
2006,Markham,restaurants,akasaka japanese rest,280 west beaver creek rd,
2006,Markham,restaurants,al dente ristorante  italiano,39 main st,
2006,Markham,restaurants,alden coffee shop,431 alden ,
2006,Markham,restaurants,alleycatz,2409 yonge,
2006,Markham,restaurants,amaretto rest,67 edward,
2006,Markham,restaurants,amiga sushi,3229 hwy 7,
2006,Markham,restaurants,apple jacks rest,5328 hwy 7,
2006,Markham,restaurants,arden fast food inc,3255 hwy 7,
2006,Markham,restaurants,august moon seafood rest,8380 kennedy,
2006,Markham,restaurants,axia cafe ltd,4300 steeles e,
2006,Markham,restaurants,azure ,225 front st w,
2006,Markham,restaurants,b & b roti & jerk,5 hillcroft dr,
2006,Markham,restaurants,backyard garden rest,3636 steeles e,
2006,Markham,restaurants,bakery garden cafe,5000 hwy 7 ,
2006,Markham,restaurants,ball kee rest,8360 kennedy,
2006,Markham,restaurants,barberian's steak house,7 elm,
2006,Markham,restaurants,barclay's stead & seafood,1921 lawreence av e,
2006,Markham,restaurants,benihana,100 front w,
2006,Markham,restaurants,best chinese rest the,3235 hwy 7,
2006,Markham,restaurants,big sizzler rest,3115 14th av,
2006,Markham,restaurants,blacksmith's bistro,166 main,
2006,Markham,restaurants,bombay palace,795 markham rd,indian
2006,Markham,restaurants,bourban st grill,5000 hwy 7 ,
2006,Markham,restaurants,braised bull steakhouse & tasting room,7750 markham,
2006,Markham,restaurants,briars restor spa & conference centre,jackson's point,
2006,Markham,restaurants,britannia pub & grill,7359 yonge,
2006,Markham,restaurants,brodie's rest & dining lounge,4450 hwy 7,
2006,Markham,restaurants,bubble tease inc,400 esna park dr,
2006,Markham,restaurants,buffet city,3160 steeles av e,
2006,Markham,restaurants,bukchon 3,8360 kennedy rd,
2006,Markham,restaurants,bukhara fine indian cuisine,680 denison st,indian
2006,Markham,restaurants,burger king,7240 kennedy,
2006,Markham,restaurants,burger king,15 ringwood dr,
2006,Markham,restaurants,burger king,3155 hwy 7,
2006,Markham,restaurants,cachet hong kong rest,9255 woodbine,
2006,Markham,restaurants,cafe apple tree,3636 steeles e,
2006,Markham,restaurants,cafe de macao,3229 hwy 7,
2006,Markham,restaurants,caffe demetre enterprises,100 allstate pkwy,
2006,Markham,restaurants,california sandwiches,3703 chesswood dr,
2006,Markham,restaurants,carman's club steak seafood ribs & chops,26 alexander,
2006,Markham,restaurants,carmelina's kitchen inc,7501 woodbine av,
2006,Markham,restaurants,cedar beach grill,15014 ninth line,
2006,Markham,restaurants,celestian court,25 lanark rd,
2006,Markham,restaurants,cho lon vietnamese rest ltd,3255 hwy 7 ,
2006,Markham,restaurants,chong's noodles,8360 kennedy rd,
2006,Markham,restaurants,chung king garden rest,4394 steeles e,
2006,Markham,restaurants,city hollywood cafe,4372 steeles e,
2006,Markham,restaurants,club mirage karaoke & lounge,4394 steeles e,
2006,Markham,restaurants,cn tower 360 rest at the twoer,301 front st w,
2006,Markham,restaurants,cocoberry cafe,675 cochrane dr,
2006,Markham,restaurants,coconut island rest,8362 kennedy rd,
2006,Markham,restaurants,cofffee & co,96 cornell park,
2006,Markham,restaurants,colonel mustard's,6545 hwy 7,
2006,Markham,restaurants,congee master,3229 hwy 7,
2006,Markham,restaurants,congee wong rest,3235 hwy 7 ,
2006,Markham,restaurants,congee wong rest,8390 kennedy,
2006,Markham,restaurants,century palace chinese rest,398 ferrier,
2006,Markham,restaurants,chak's eastern inc,4350 steeles e,
2006,Markham,restaurants,chauhan's catering,7370 woodbine,
2006,Markham,restaurants,chef chan,227 main n,
2006,Markham,restaurants,chez splat,4441 hwy 7,
2006,Markham,restaurants,china buffet king,22 metropolitan rd,
2006,Markham,restaurants,china chalet rest limited,65 unionville gate,
2006,Markham,restaurants,chinese dumpling house,3636 steeles e,
2006,Markham,restaurants,corner house rest,6403 main st,
2006,Markham,restaurants,cuisine of india,5328 hwy 7,indian
2006,Markham,restaurants,d & r wing rest,38 buttonfienld rd,
2006,Markham,restaurants,dairy queen,7708 kennedy rd,
2006,Markham,restaurants,danny's fish & chips,4721 hwy 7,
2006,Markham,restaurants,dave and buster's,hwy 400 ,
